date,country,countryCode,province,city,confirmed,suspected,cured,dead,Days,net_confirmed
2019-12-21,中国,CN,Hubei Province,Wuhan,18,0,0,0,13,18
2019-12-22,中国,CN,,,21,0,0,0,14,21
2019-12-22,中国,CN,Hubei Province,,21,0,0,0,14,21
2019-12-22,中国,CN,Hubei Province,Wuhan,21,0,0,0,14,21
2019-12-23,中国,CN,,,29,0,0,0,15,29
2019-12-23,中国,CN,Hubei Province,,29,0,0,0,15,29
2019-12-23,中国,CN,Hubei Province,Wuhan,29,0,0,0,15,29
2019-12-24,中国,CN,,,30,0,0,0,16,30
2019-12-24,中国,CN,Hubei Province,,30,0,0,0,16,30
2019-12-24,中国,CN,Hubei Province,Wuhan,30,0,0,0,16,30
2019-12-25,中国,CN,,,33,0,0,0,17,33
2019-12-25,中国,CN,Hubei Province,,33,0,0,0,17,33
2019-12-25,中国,CN,Hubei Province,Wuhan,33,0,0,0,17,33
2019-12-26,中国,CN,,,35,0,0,0,18,35
2019-12-26,中国,CN,Hubei Province,,35,0,0,0,18,35
2019-12-26,中国,CN,Hubei Province,Wuhan,35,0,0,0,18,35
2019-12-27,中国,CN,,,37,0,0,0,19,37
2019-12-27,中国,CN,Hubei Province,,37,0,0,0,19,37
2019-12-27,中国,CN,Hubei Province,Wuhan,37,0,0,0,19,37
2019-12-28,中国,CN,,,37,0,0,0,20,37
2019-12-28,中国,CN,Hubei Province,,37,0,0,0,20,37
2019-12-28,中国,CN,Hubei Province,Wuhan,37,0,0,0,20,37
2019-12-29,中国,CN,,,37,0,0,0,21,37
2019-12-29,中国,CN,Hubei Province,,37,0,0,0,21,37
2019-12-29,中国,CN,Hubei Province,Wuhan,37,0,0,0,21,37
2019-12-30,中国,CN,,,37,0,0,0,22,37
2019-12-30,中国,CN,Hubei Province,,37,0,0,0,22,37
2019-12-30,中国,CN,Hubei Province,Wuhan,37,0,0,0,22,37
2019-12-31,中国,CN,,,40,0,0,0,23,40
2019-12-31,中国,CN,Hubei Province,,40,0,0,0,23,40
2019-12-31,中国,CN,Hubei Province,Wuhan,40,0,0,0,23,40
2020-01-01,中国,CN,,,43,0,0,0,24,43
2020-01-01,中国,CN,Hubei Province,,43,0,0,0,24,43
2020-01-01,中国,CN,Hubei Province,Wuhan,43,0,0,0,24,43
2020-01-02,中国,CN,,,44,0,0,0,25,44
2020-01-02,中国,CN,Hubei Province,,44,0,0,0,25,44
2020-01-02,中国,CN,Hubei Province,Wuhan,44,0,0,0,25,44
2020-01-03,中国,CN,,,41,0,0,0,26,41
2020-01-03,中国,CN,Hubei Province,,41,0,0,0,26,41
2020-01-03,中国,CN,Hubei Province,Wuhan,41,0,0,0,26,41
2020-01-04,中国,CN,,,41,0,0,0,27,41
2020-01-04,中国,CN,Hubei Province,,41,0,0,0,27,41
2020-01-04,中国,CN,Hubei Province,Wuhan,41,0,0,0,27,41
2020-01-05,中国,CN,,,41,0,0,0,28,41
2020-01-05,中国,CN,Hubei Province,,41,0,0,0,28,41
2020-01-05,中国,CN,Hubei Province,Wuhan,41,0,0,0,28,41
2020-01-06,中国,CN,,,41,0,0,0,29,41
2020-01-06,中国,CN,Hubei Province,,41,0,0,0,29,41
2020-01-06,中国,CN,Hubei Province,Wuhan,41,0,0,0,29,41
2020-01-07,中国,CN,,,41,0,0,0,30,41
2020-01-07,中国,CN,Hubei Province,,41,0,0,0,30,41
2020-01-07,中国,CN,Hubei Province,Wuhan,41,0,0,0,30,41
2020-01-08,中国,CN,,,41,0,0,0,31,41
2020-01-08,中国,CN,Hubei Province,,41,0,0,0,31,41
2020-01-08,中国,CN,Hubei Province,Wuhan,41,0,0,0,31,41
2020-01-09,中国,CN,,,41,0,0,0,32,41
2020-01-09,中国,CN,Hubei Province,,41,0,0,0,32,41
2020-01-09,中国,CN,Hubei Province,Wuhan,41,0,0,0,32,41
2020-01-10,中国,CN,,,41,0,2,1,33,38
2020-01-10,中国,CN,Hubei Province,,41,0,2,1,33,38
2020-01-10,中国,CN,Hubei Province,Wuhan,41,0,2,1,33,38
2020-01-11,中国,CN,,,41,0,6,1,34,34
2020-01-11,中国,CN,Hubei Province,,41,0,6,1,34,34
2020-01-11,中国,CN,Hubei Province,Wuhan,41,0,6,1,34,34
2020-01-12,中国,CN,,,41,0,7,1,35,33
2020-01-12,中国,CN,Hubei Province,,41,0,7,1,35,33
2020-01-12,中国,CN,Hubei Province,Wuhan,41,0,7,1,35,33
2020-01-13,中国,CN,,,41,0,7,1,36,33
2020-01-13,中国,CN,Hubei Province,,41,0,7,1,36,33
2020-01-13,中国,CN,Hubei Province,Wuhan,41,0,7,1,36,33
2020-01-14,中国,CN,,,41,0,7,1,37,33
2020-01-14,中国,CN,Hubei Province,,41,0,7,1,37,33
2020-01-14,中国,CN,Hubei Province,Wuhan,41,0,7,1,37,33
2020-01-15,中国,CN,,,41,0,12,2,38,27
2020-01-15,中国,CN,Hubei Province,,41,0,12,2,38,27
2020-01-15,中国,CN,Hubei Province,Wuhan,41,0,12,2,38,27
2020-01-16,中国,CN,,,45,0,15,2,39,28
2020-01-16,中国,CN,Hubei Province,,45,0,15,2,39,28
2020-01-16,中国,CN,Hubei Province,Wuhan,45,0,15,2,39,28
2020-01-16,日本,JP,,,1,0,0,0,39,1
2020-01-16,泰国,TH,,,1,0,0,0,39,1
2020-01-17,中国,CN,,,62,0,19,2,40,41
2020-01-17,中国,CN,Hubei Province,,62,0,19,2,40,41
2020-01-17,中国,CN,Hubei Province,Wuhan,62,0,19,2,40,41
2020-01-18,中国,CN,,,198,0,24,3,41,171
2020-01-18,中国,CN,Hubei Province,,121,0,24,3,41,94
2020-01-18,中国,CN,Hubei Province,Wuhan,121,0,24,3,41,94
2020-01-19,中国,CN,,,275,0,25,4,42,246
2020-01-19,中国,CN,Hubei Province,,198,0,25,3,42,170
2020-01-19,中国,CN,Hubei Province,Wuhan,198,0,25,3,42,170
2020-01-19,中国,CN,Guangdong Province,,1,0,0,0,42,1
2020-01-19,中国,CN,Guangdong Province,Shenzhen,1,0,0,0,42,1
2020-01-20,中国,CN,,,291,54,25,6,43,260
2020-01-20,中国,CN,Beijing,,5,0,0,0,43,5
2020-01-20,中国,CN,Jilin Province,,0,1,0,0,43,0
2020-01-20,中国,CN,Shanghai,,1,0,0,0,43,1
2020-01-20,中国,CN,Zhejiang Province,,0,16,0,0,43,0
2020-01-20,中国,CN,Anhui Province,,0,1,0,0,43,0
2020-01-20,中国,CN,Jiangxi,,0,2,0,0,43,0
2020-01-20,中国,CN,Shandong Province,,0,1,0,0,43,0
2020-01-20,中国,CN,Hubei Province,,270,0,25,6,43,239
2020-01-20,中国,CN,Guangdong Province,,14,7,0,0,43,14
2020-01-20,中国,CN,Guangxi Zhuang Autonomous Region,,0,1,0,0,43,0
2020-01-20,中国,CN,Hainan,,0,1,0,0,43,0
2020-01-20,中国,CN,Sichuan Province,,0,3,0,0,43,0
2020-01-20,中国,CN,Guizhou Province,,0,1,0,0,43,0
2020-01-20,中国,CN,Yunnan Province,,0,1,0,0,43,0
2020-01-20,中国,CN,Ningxia Hui Autonomous Region,,0,1,0,0,43,0
2020-01-20,日本,JP,,,1,0,0,0,43,1
2020-01-20,韩国,KR,,,1,0,0,0,43,1
2020-01-20,泰国,TH,,,2,0,0,0,43,2
2020-01-21,中国,CN,,,440,37,25,9,44,406
2020-01-21,中国,CN,Beijing,,10,0,0,0,44,10
2020-01-21,中国,CN,Tianjin,,2,0,0,0,44,2
2020-01-21,中国,CN,Shanxi Province,,0,1,0,0,44,0
2020-01-21,中国,CN,Jilin Province,,0,1,0,0,44,0
2020-01-21,中国,CN,Heilongjiang Province,,0,1,0,0,44,0
2020-01-21,中国,CN,Heilongjiang Province,Mudanjiang,0,1,0,0,44,0
2020-01-21,中国,CN,Shanghai,,6,3,0,0,44,6
2020-01-21,中国,CN,Zhejiang Province,,5,0,0,0,44,5
2020-01-21,中国,CN,Zhejiang Province,Hangzhou,1,0,0,0,44,1
2020-01-21,中国,CN,Zhejiang Province,Wenzhou,2,0,0,0,44,2
2020-01-21,中国,CN,Zhejiang Province,Zhoushan,1,0,0,0,44,1
2020-01-21,中国,CN,Zhejiang Province,Taizhou,1,0,0,0,44,1
2020-01-21,中国,CN,Anhui Province,,0,1,0,0,44,0
2020-01-21,中国,CN,Anhui Province,Hefei,0,1,0,0,44,0
2020-01-21,中国,CN,Jiangxi,,2,0,0,0,44,2
2020-01-21,中国,CN,Jiangxi,Pingxiang,1,0,0,0,44,1
2020-01-21,中国,CN,Jiangxi,Fuzhou,1,0,0,0,44,1
2020-01-21,中国,CN,Shandong Province,,1,0,0,0,44,1
2020-01-21,中国,CN,Shandong Province,Qingdao,1,0,0,0,44,1
2020-01-21,中国,CN,Henan Province,,1,0,0,0,44,1
2020-01-21,中国,CN,Henan Province,Zhengzhou,1,0,0,0,44,1
2020-01-21,中国,CN,Hubei Province,,375,0,28,9,44,338
2020-01-21,中国,CN,Hunan Province,,1,0,0,0,44,1
2020-01-21,中国,CN,Hunan Province,Changsha,1,0,0,0,44,1
2020-01-21,中国,CN,Guangdong Province,,26,0,0,0,44,26
2020-01-21,中国,CN,Guangdong Province,Canton,2,0,0,0,44,2
2020-01-21,中国,CN,Guangdong Province,Shaoguan,2,0,0,0,44,2
2020-01-21,中国,CN,Guangdong Province,Shenzhen,14,0,0,0,44,14
2020-01-21,中国,CN,Guangdong Province,Zhuhai,4,0,0,0,44,4
2020-01-21,中国,CN,Guangdong Province,Foshan,1,0,0,0,44,1
2020-01-21,中国,CN,Guangdong Province,Zhanjiang,2,0,0,0,44,2
2020-01-21,中国,CN,Guangdong Province,Huizhou,1,0,0,0,44,1
2020-01-21,中国,CN,Guangxi Zhuang Autonomous Region,,0,2,0,0,44,0
2020-01-21,中国,CN,Hainan,,0,1,0,0,44,0
2020-01-21,中国,CN,Chongqing,,5,0,0,0,44,5
2020-01-21,中国,CN,Sichuan Province,,2,5,0,0,44,2
2020-01-21,中国,CN,Sichuan Province,Chengdu,1,3,0,0,44,1
2020-01-21,中国,CN,Sichuan Province,Mianyang,0,2,0,0,44,0
2020-01-21,中国,CN,Sichuan Province,Guang'an,1,0,0,0,44,1
2020-01-21,中国,CN,Guizhou Province,,0,1,0,0,44,0
2020-01-21,中国,CN,Guizhou Province,Guiyang,0,1,0,0,44,0
2020-01-21,中国,CN,Yunnan Province,,1,0,0,0,44,1
2020-01-21,中国,CN,Ningxia Hui Autonomous Region,,0,1,0,0,44,0
2020-01-21,日本,JP,,,1,0,0,0,44,1
2020-01-21,韩国,KR,,,1,0,0,0,44,1
2020-01-21,泰国,TH,,,3,0,0,0,44,3
2020-01-22,中国,CN,,,571,393,25,17,45,529
2020-01-22,中国,CN,Beijing,,14,0,0,0,45,14
2020-01-22,中国,CN,Tianjin,,4,0,0,0,45,4
2020-01-22,中国,CN,Hebei Province,,1,0,0,0,45,1
2020-01-22,中国,CN,Hebei Province,Shijiazhuang,1,0,0,0,45,1
2020-01-22,中国,CN,Shanxi Province,,1,0,0,0,45,1
2020-01-22,中国,CN,Shanxi Province,Taiyuan,1,0,0,0,45,1
2020-01-22,中国,CN,Liaoning Province,,2,0,0,0,45,2
2020-01-22,中国,CN,Liaoning Province,Shenyang,1,0,0,0,45,1
2020-01-22,中国,CN,Liaoning Province,Dalian,1,0,0,0,45,1
2020-01-22,中国,CN,Jilin Province,,1,0,0,0,45,1
2020-01-22,中国,CN,Jilin Province,Changchun,1,0,0,0,45,1
2020-01-22,中国,CN,Heilongjiang Province,,1,0,0,0,45,1
2020-01-22,中国,CN,Heilongjiang Province,Mudanjiang,1,0,0,0,45,1
2020-01-22,中国,CN,Shanghai,,16,22,0,0,45,16
2020-01-22,中国,CN,Jiangsu Province,,1,0,0,0,45,1
2020-01-22,中国,CN,Jiangsu Province,Suzhou,1,0,0,0,45,1
2020-01-22,中国,CN,Zhejiang Province,,10,0,0,0,45,10
2020-01-22,中国,CN,Zhejiang Province,Hangzhou,1,0,0,0,45,1
2020-01-22,中国,CN,Zhejiang Province,Ningbo,3,0,0,0,45,3
2020-01-22,中国,CN,Zhejiang Province,Wenzhou,4,0,0,0,45,4
2020-01-22,中国,CN,Zhejiang Province,Zhoushan,1,0,0,0,45,1
2020-01-22,中国,CN,Zhejiang Province,Taizhou,1,0,0,0,45,1
2020-01-22,中国,CN,Anhui Province,,1,4,0,0,45,1
2020-01-22,中国,CN,Anhui Province,Hefei,1,3,0,0,45,1
2020-01-22,中国,CN,Anhui Province,Lu'an,0,1,0,0,45,0
2020-01-22,中国,CN,Fujian Province,,1,0,0,0,45,1
2020-01-22,中国,CN,Fujian Province,Fuzhou,1,0,0,0,45,1
2020-01-22,中国,CN,Jiangxi,,3,0,0,0,45,3
2020-01-22,中国,CN,Jiangxi,Nanchang,1,0,0,0,45,1
2020-01-22,中国,CN,Jiangxi,Pingxiang,1,0,0,0,45,1
2020-01-22,中国,CN,Jiangxi,Fuzhou,1,0,0,0,45,1
2020-01-22,中国,CN,Shandong Province,,6,0,0,0,45,6
2020-01-22,中国,CN,Shandong Province,Qingdao,3,0,0,0,45,3
2020-01-22,中国,CN,Shandong Province,Weihai,1,0,0,0,45,1
2020-01-22,中国,CN,Shandong Province,Linyi,2,0,0,0,45,2
2020-01-22,中国,CN,Henan Province,,5,0,0,0,45,5
2020-01-22,中国,CN,Henan Province,Zhengzhou,2,0,0,0,45,2
2020-01-22,中国,CN,Henan Province,Gongyi,1,0,0,0,45,1
2020-01-22,中国,CN,Henan Province,Luoyang,1,0,0,0,45,1
2020-01-22,中国,CN,Henan Province,Sanmenxia,1,0,0,0,45,1
2020-01-22,中国,CN,Hubei Province,,444,0,28,17,45,399
2020-01-22,中国,CN,Hunan Province,,4,0,0,0,45,4
2020-01-22,中国,CN,Hunan Province,Changsha,1,0,0,0,45,1
2020-01-22,中国,CN,Hunan Province,Huaihua,3,0,0,0,45,3
2020-01-22,中国,CN,Guangdong Province,,32,0,0,0,45,32
2020-01-22,中国,CN,Guangdong Province,Canton,5,0,0,0,45,5
2020-01-22,中国,CN,Guangdong Province,Shaoguan,2,0,0,0,45,2
2020-01-22,中国,CN,Guangdong Province,Shenzhen,15,0,0,0,45,15
2020-01-22,中国,CN,Guangdong Province,Zhuhai,4,0,0,0,45,4
2020-01-22,中国,CN,Guangdong Province,Foshan,1,0,0,0,45,1
2020-01-22,中国,CN,Guangdong Province,Zhanjiang,2,0,0,0,45,2
2020-01-22,中国,CN,Guangdong Province,Zhaoqing,1,0,0,0,45,1
2020-01-22,中国,CN,Guangdong Province,Huizhou,1,0,0,0,45,1
2020-01-22,中国,CN,Guangdong Province,Zhongshan,1,0,0,0,45,1
2020-01-22,中国,CN,Guangxi Zhuang Autonomous Region,,2,1,0,0,45,2
2020-01-22,中国,CN,Guangxi Zhuang Autonomous Region,Liuzhou,0,1,0,0,45,0
2020-01-22,中国,CN,Guangxi Zhuang Autonomous Region,Wuzhou,1,0,0,0,45,1
2020-01-22,中国,CN,Guangxi Zhuang Autonomous Region,North Sea,1,0,0,0,45,1
2020-01-22,中国,CN,Hainan,,5,32,0,0,45,5
2020-01-22,中国,CN,Hainan,Seaport,1,10,0,0,45,1
2020-01-22,中国,CN,Hainan,Sanya,2,8,0,0,45,2
2020-01-22,中国,CN,Hainan,Danzhou,0,3,0,0,45,0
2020-01-22,中国,CN,Hainan,Qionghai,0,1,0,0,45,0
2020-01-22,中国,CN,Hainan,Wenchang,0,1,0,0,45,0
2020-01-22,中国,CN,Hainan,Wanning,1,1,0,0,45,1
2020-01-22,中国,CN,Hainan,East,0,1,0,0,45,0
2020-01-22,中国,CN,Chongqing,,9,0,0,0,45,9
2020-01-22,中国,CN,Sichuan Province,,5,2,0,0,45,5
2020-01-22,中国,CN,Sichuan Province,Chengdu,2,2,0,0,45,2
2020-01-22,中国,CN,Sichuan Province,Mianyang,2,0,0,0,45,2
2020-01-22,中国,CN,Sichuan Province,Guang'an,1,0,0,0,45,1
2020-01-22,中国,CN,Guizhou Province,,3,0,0,0,45,3
2020-01-22,中国,CN,Guizhou Province,Guiyang,1,0,0,0,45,1
2020-01-22,中国,CN,Guizhou Province,Tongren,1,0,0,0,45,1
2020-01-22,中国,CN,Shaanxi Province,,4,0,0,0,45,4
2020-01-22,中国,CN,Shaanxi Province,Xi'an,2,0,0,0,45,2
2020-01-22,中国,CN,Shaanxi Province,Xianyang,1,0,0,0,45,1
2020-01-22,中国,CN,Shaanxi Province,Yan'an,1,0,0,0,45,1
2020-01-22,中国,CN,Ningxia Hui Autonomous Region,,1,0,0,0,45,1
2020-01-22,中国,CN,Ningxia Hui Autonomous Region,Yinchuan,1,0,0,0,45,1
2020-01-22,中国,CN,Taiwan,,1,0,0,0,45,1
2020-01-22,中国,CN,Hongkong,,1,0,0,0,45,1
2020-01-22,中国,CN,Macao,,1,0,0,0,45,1
2020-01-22,日本,JP,,,1,0,0,0,45,1
2020-01-22,韩国,KR,,,1,0,0,0,45,1
2020-01-22,泰国,TH,,,3,0,0,0,45,3
2020-01-22,美国,US,,,1,0,0,0,45,1
2020-01-23,中国,CN,,,830,1072,34,25,46,771
2020-01-23,中国,CN,Beijing,,22,0,0,0,46,22
2020-01-23,中国,CN,Tianjin,,5,0,0,0,46,5
2020-01-23,中国,CN,Hebei Province,,2,0,0,1,46,1
2020-01-23,中国,CN,Hebei Province,Shijiazhuang,1,0,0,0,46,1
2020-01-23,中国,CN,Hebei Province,Cangzhou,1,0,0,1,46,0
2020-01-23,中国,CN,Shanxi Province,,1,0,0,0,46,1
2020-01-23,中国,CN,Shanxi Province,Taiyuan,1,0,0,0,46,1
2020-01-23,中国,CN,Inner Mongolia Autonomous Region,,1,2,0,0,46,1
2020-01-23,中国,CN,Inner Mongolia Autonomous Region,Hulunbeier,1,0,0,0,46,1
2020-01-23,中国,CN,Liaoning Province,,4,0,0,0,46,4
2020-01-23,中国,CN,Liaoning Province,Shenyang,2,0,0,0,46,2
2020-01-23,中国,CN,Liaoning Province,Dalian,1,0,0,0,46,1
2020-01-23,中国,CN,Liaoning Province,Sunny,1,0,0,0,46,1
2020-01-23,中国,CN,Jilin Province,,3,0,0,0,46,3
2020-01-23,中国,CN,Jilin Province,Changchun,1,0,0,0,46,1
2020-01-23,中国,CN,Jilin Province,Jilin,1,0,0,0,46,1
2020-01-23,中国,CN,Jilin Province,Matsubara,1,0,0,0,46,1
2020-01-23,中国,CN,Heilongjiang Province,,4,0,0,1,46,3
2020-01-23,中国,CN,Heilongjiang Province,Harbin,1,0,0,0,46,1
2020-01-23,中国,CN,Heilongjiang Province,Daqing,1,0,0,0,46,1
2020-01-23,中国,CN,Heilongjiang Province,Mudanjiang,1,0,0,0,46,1
2020-01-23,中国,CN,Heilongjiang Province,Suihua,1,0,0,1,46,0
2020-01-23,中国,CN,Shanghai,,20,34,0,0,46,20
2020-01-23,中国,CN,Jiangsu Province,,9,0,0,0,46,9
2020-01-23,中国,CN,Jiangsu Province,Nanjing,3,0,0,0,46,3
2020-01-23,中国,CN,Jiangsu Province,Wuxi,1,0,0,0,46,1
2020-01-23,中国,CN,Jiangsu Province,Suzhou,2,0,0,0,46,2
2020-01-23,中国,CN,Jiangsu Province,Nantong,1,0,0,0,46,1
2020-01-23,中国,CN,Jiangsu Province,Lianyungang,1,0,0,0,46,1
2020-01-23,中国,CN,Jiangsu Province,Yangzhou,1,0,0,0,46,1
2020-01-23,中国,CN,Zhejiang Province,,43,0,1,0,46,42
2020-01-23,中国,CN,Zhejiang Province,Hangzhou,6,0,0,0,46,6
2020-01-23,中国,CN,Zhejiang Province,Ningbo,5,0,0,0,46,5
2020-01-23,中国,CN,Zhejiang Province,Wenzhou,1,0,1,0,46,0
2020-01-23,中国,CN,Zhejiang Province,Jiaxing,1,0,0,0,46,1
2020-01-23,中国,CN,Zhejiang Province,Shaoxing,1,0,0,0,46,1
2020-01-23,中国,CN,Zhejiang Province,Jinhua,1,0,0,0,46,1
2020-01-23,中国,CN,Zhejiang Province,Quzhou,2,0,0,0,46,2
2020-01-23,中国,CN,Zhejiang Province,Zhoushan,1,0,0,0,46,1
2020-01-23,中国,CN,Zhejiang Province,Taizhou,4,0,0,0,46,4
2020-01-23,中国,CN,Anhui Province,,15,0,0,0,46,15
2020-01-23,中国,CN,Anhui Province,Hefei,6,0,0,0,46,6
2020-01-23,中国,CN,Anhui Province,Bengbu,1,0,0,0,46,1
2020-01-23,中国,CN,Anhui Province,Anqing,1,0,0,0,46,1
2020-01-23,中国,CN,Anhui Province,Chuzhou,1,0,0,0,46,1
2020-01-23,中国,CN,Anhui Province,Fuyang,2,0,0,0,46,2
2020-01-23,中国,CN,Anhui Province,Lu'an,2,0,0,0,46,2
2020-01-23,中国,CN,Anhui Province,Bozhou,1,0,0,0,46,1
2020-01-23,中国,CN,Anhui Province,Chizhou,1,0,0,0,46,1
2020-01-23,中国,CN,Fujian Province,,4,0,0,0,46,4
2020-01-23,中国,CN,Fujian Province,Fuzhou,1,0,0,0,46,1
2020-01-23,中国,CN,Fujian Province,Xiamen,1,0,0,0,46,1
2020-01-23,中国,CN,Fujian Province,Quanzhou,1,0,0,0,46,1
2020-01-23,中国,CN,Fujian Province,Ningde,1,0,0,0,46,1
2020-01-23,中国,CN,Jiangxi,,7,0,0,0,46,7
2020-01-23,中国,CN,Jiangxi,Nanchang,2,0,0,0,46,2
2020-01-23,中国,CN,Jiangxi,Pingxiang,1,0,0,0,46,1
2020-01-23,中国,CN,Jiangxi,Jiujiang,1,0,0,0,46,1
2020-01-23,中国,CN,Jiangxi,Xinyu,1,0,0,0,46,1
2020-01-23,中国,CN,Jiangxi,Ji'an,1,0,0,0,46,1
2020-01-23,中国,CN,Jiangxi,Fuzhou,1,0,0,0,46,1
2020-01-23,中国,CN,Shandong Province,,9,0,0,0,46,9
2020-01-23,中国,CN,Shandong Province,Qingdao,3,0,0,0,46,3
2020-01-23,中国,CN,Shandong Province,Weifang,1,0,0,0,46,1
2020-01-23,中国,CN,Shandong Province,Weihai,2,0,0,0,46,2
2020-01-23,中国,CN,Shandong Province,sunshine,1,0,0,0,46,1
2020-01-23,中国,CN,Shandong Province,Linyi,2,0,0,0,46,2
2020-01-23,中国,CN,Henan Province,,9,0,0,0,46,9
2020-01-23,中国,CN,Henan Province,Zhengzhou,3,0,0,0,46,3
2020-01-23,中国,CN,Henan Province,Gongyi,2,0,0,0,46,2
2020-01-23,中国,CN,Henan Province,Luoyang,1,0,0,0,46,1
2020-01-23,中国,CN,Henan Province,Sanmenxia,1,0,0,0,46,1
2020-01-23,中国,CN,Henan Province,Xinyang,1,0,0,0,46,1
2020-01-23,中国,CN,Henan Province,Zhoukou,1,0,0,0,46,1
2020-01-23,中国,CN,Hubei Province,,549,0,31,24,46,494
2020-01-23,中国,CN,Hubei Province,Wuhan,495,0,0,0,46,495
2020-01-23,中国,CN,Hubei Province,Shiyan,1,0,0,0,46,1
2020-01-23,中国,CN,Hubei Province,Yichang,1,0,0,0,46,1
2020-01-23,中国,CN,Hubei Province,Jingmen,8,0,0,0,46,8
2020-01-23,中国,CN,Hubei Province,Xiaogan,22,0,0,0,46,22
2020-01-23,中国,CN,Hubei Province,Jingzhou,8,0,0,0,46,8
2020-01-23,中国,CN,Hubei Province,Huanggang,12,0,0,0,46,12
2020-01-23,中国,CN,Hubei Province,Xiantao,2,0,0,0,46,2
2020-01-23,中国,CN,Hunan Province,,24,0,0,0,46,24
2020-01-23,中国,CN,Hunan Province,Changsha,8,0,0,0,46,8
2020-01-23,中国,CN,Hunan Province,Zhuzhou,1,0,0,0,46,1
