,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22
Jiayuguan/Jiuquan,,,,,,,,,,,,,,,,,,,,,,
Jinan,,,,,,,,,,,,,,,,,,,,,,
Jinchang,,,,,,,,,,,,,,,,,,,,,,
Jingdezhen,,,,,,,,,,,,,,,,,,,,,,
"Jinghong, Xishuangbanna",,,,,,,,,,,,,,,,,,,,,,
Jining/Qufu,,,,,,,,,,,,,,,,,,,,,,
Jinzhou,,,,,,,,,,,,,,,,,,,,,,
Jiuzhaigou/Songpan,,,,,,,,,,,,,,,,,,,,,,
Jixi,,,,,,,,,,,,,,,,,,,,,,
Kangding,,,,,,,,,,,,,,,,,,,,,,
Karamay,,,,,,,,,,,,,,,,,,,,,,
Kashgar,,,,,,,,,,,,,,,,,,,,,,
Korla,,,,,,,,,,,,,,,,,,,,,,
Künes,,,,,,,,,,,,,,,,,,,,,,
Kunming,,,,,,,,,,,,,,,,,,,,,1,
Kuqa,,,,,,,,,,,,,,,,,,,,,,
Lanzhou,,,,,,,,,,,,,,,,,,,,,,
Lhasa/Shannan,,,,,,,,,,,,,,,,,,,,,,
"Liancheng, Longyan",,,,,,,,,,,,,,,,,,,,,,
Lianyungang,,,,,,,,,,,,,,,,,,,,,,
Libo,,,,,,,,,,,,,,,,,,,,,,
Lijiang,,,,,,,,,,,,,,,,,,,,,,
Lincang,,,,,,,,,,,,,,,,,,,,,,
Linyi,,,,,,,,,,,,,,,,,,,,,,
Liping,,,,,,,,,,,,,,,,,,,,,,
Liuzhou,,,,,,,,,,,,,,,,,,,,,,
Luoyang,,,,,,,,,,,,,,,,,,,,,,
Luzhou,,,,,,,,,,,,,,,,,,,,,,
"Mang City, Dehong",,,,,,,,,,,,,,,,,,,,,,
Manzhouli,,,,,,,,,,,,,,,,,,,,,,
Meizhou,,,,,,,,,,,,,,,,,,,,,,
Mianyang,,,,,,,,,,,,,,,,,,,,,,
Mohe,,,,,,,,,,,,,,,,,,,,,,
Mudanjiang,,,,,,,,,,,,,,,,,,,,,,
Nanchang,,,,,,,,,,,,,,,,,,,,,,
Nanchong,,,,,,,,,,,,,,,,,,,,,,
Nanjing,,,,,,,,,,,,,,,,,,,,,,
Nanning,,,,,,,,,,,,,,,,,,,,,,
Nantong,,,,,,,,,,,,,,,,,,,,,,
Nanyang,,,,,,,,,,,,,,,,,,,,,,
Ningbo,,,,,,,,,,,,,,,,,,,,,,
Nyingchi,,,,,,,,,,,,,,,,,,,,,,
Ordos,,,,,,,,,,,,,,,,,,,,,,
Panzhihua,,,,,,,,,,,,,,,,,,,,,,
Pu'er,,,,,,,,,,,,,,,,,,,,,,
Qamdo,,,,,,,,,,,,,,,,,,,,,,
Qianjiang,,,,,,,,,,,,,,,,,,,,,,
Qiemo,,,,,,,,,,,,,,,,,,,,,,
Qingdao,,,,,,,,,,,,,,,,,,,,,1,
Qingyang,,,,,,,,,,,,,,,,,,,,,,
Qinhuangdao,,,,,,,,,,,,,,,,,,,,,,
Qiqihar,,,,,,,,,,,,,,,,,,,,,,
Quanzhou,,,,,,,,,,,,,,,,,,,,,,
Quzhou,,,,,,,,,,,,,,,,,,,,,,
Rizhao,,,,,,,,,,,,,,,,,,,,,1,
Sanming,,,,,,,,,,,,,,,,,,,,,,
Sanya,,,,,,,,,,,,,,,,,,,,,,
Shanghai,,,,,,,,,,,,,,,,,,,,2,4,
"Shangri-La, Dêqên",,,,,,,,,,,,,,,,,,,,,,
Shantou/Jieyang/Chaozhou,,,,,,,,,,,,,,,,,,,,,,
Shenyang,,,,,,,,,,,,,,,,,,,,,,
Shenzhen,,,,,,,,,,,,,,,,,,,1,8,,
Shigatse,,,,,,,,,,,,,,,,,,,,,,
Shihezi,,,,,,,,,,,,,,,,,,,,,,
Shijiazhuang,,,,,,,,,,,,,,,,,,,,,,
"Shiquanhe, Ngari",,,,,,,,,,,,,,,,,,,,,,
Tacheng,,,,,,,,,,,,,,,,,,,,,,
Taiyuan,,,,,,,,,,,,,,,,,,,,,,
Taizhou,,,,,,,,,,,,,,,,,,,,,,
Tangshan,,,,,,,,,,,,,,,,,,,,,,
Tengchong,,,,,,,,,,,,,,,,,,,,,,
Tianjin,,,,,,,,,,,,,,,,,,,,,2,
Tianshui,,,,,,,,,,,,,,,,,,,,,,
Tonghua,,,,,,,,,,,,,,,,,,,,,,
Tongliao,,,,,,,,,,,,,,,,,,,,,,
Tongren,,,,,,,,,,,,,,,,,,,,,,
Turpan,,,,,,,,,,,,,,,,,,,,,,
Ulanhot,,,,,,,,,,,,,,,,,,,,,,
Ürümqi,,,,,,,,,,,,,,,,,,,,,,
Wanzhou,,,,,,,,,,,,,,,,,,,,,,
Weifang,,,,,,,,,,,,,,,,,,,,,,
Weihai,,,,,,,,,,,,,,,,,,,,,,
Wenshan,,,,,,,,,,,,,,,,,,,,,,
Wenzhou,,,,,,,,,,,,,,,,,,,,,1,
Wuhai,,,,,,,,,,,,,,,,,,,,,,
Wuhan,,,,,,,,,,,41,,,,,4,17,59,77,60,12,
Wuxi/Suzhou,,,,,,,,,,,,,,,,,,,,,,
"Wuyishan, Nanping",,,,,,,,,,,,,,,,,,,,,,
Wuzhou,,,,,,,,,,,,,,,,,,,,,,
Xi'an/Xianyang,,,,,,,,,,,,,,,,,,,,,,
"Xiahe/Hezuo, Gannan",,,,,,,,,,,,,,,,,,,,,,
Xiamen,,,,,,,,,,,,,,,,,,,,,,
Xiangyang,,,,,,,,,,,,,,,,,,,,,,
Xichang,,,,,,,,,,,,,,,,,,,,,,
Xilinhot,,,,,,,,,,,,,,,,,,,,,,
Xingyi,,,,,,,,,,,,,,,,,,,,,,
Xining/Haidong,,,,,,,,,,,,,,,,,,,,,,
Xuzhou,,,,,,,,,,,,,,,,,,,,,,
Yan'an,,,,,,,,,,,,,,,,,,,,,,
Yancheng,,,,,,,,,,,,,,,,,,,,,,
Yangzhou/Taizhou,,,,,,,,,,,,,,,,,,,,,,
Yanji,,,,,,,,,,,,,,,,,,,,,,
Yantai,,,,,,,,,,,,,,,,,,,,,,
Yibin,,,,,,,,,,,,,,,,,,,,,,
Yichang,,,,,,,,,,,,,,,,,,,,,,
Yichun,,,,,,,,,,,,,,,,,,,,,,
Yinchuan,,,,,,,,,,,,,,,,,,,,,,
Yining,,,,,,,,,,,,,,,,,,,,,,
"Yiwu, Jinhua",,,,,,,,,,,,,,,,,,,,,,
Yongzhou,,,,,,,,,,,,,,,,,,,,,,
Yulin,,,,,,,,,,,,,,,,,,,,,,
Yuncheng,,,,,,,,,,,,,,,,,,,,,,
Yushu,,,,,,,,,,,,,,,,,,,,,,
Zhangjiajie,,,,,,,,,,,,,,,,,,,,,,
Zhangye,,,,,,,,,,,,,,,,,,,,,,
Zhanjiang,,,,,,,,,,,,,,,,,,,,1,,
Zhaotong,,,,,,,,,,,,,,,,,,,,,,
Zhengzhou,,,,,,,,,,,,,,,,,,,,,1,
Zhongwei,,,,,,,,,,,,,,,,,,,,,,
Zhoushan/Putuoshan,,,,,,,,,,,,,,,,,,,,,,
Zhuhai,,,,,,,,,,,,,,,,,,,,3,,
Zunyi,,,,,,,,,,,,,,,,,,,,,,
